,0
max_risk_estimate,0.5239277782181574
max_risk_scaling,0.41608497511741377
c_h_per,0.012504126558796187
t_rcs_estimate,0.005943534931275649
c_sigma_rdot,0.005172554315671265
c_weighted_rms,0.0031110992749851865
t_span,0.0030107239521523542
c_sigma_t,0.002558105059336026
c_cr_area_over_mass,0.00213293142195573
SSN,0.0020844699511673947
c_j2k_inc,0.0016520098808175609
time_to_tca,0.001294789067988765
relative_pos_mag,0.0012905634401604183
t_h_apo,0.0012716291189196886
relative_position_n,0.0012305496638425446
c_cndot_n,0.0012015447645371531
t_ctdot_r,0.0009187606277126338
mahalanobis_distance,0.0008556410988323882
azimuth,0.0008142234065316844
t_cndot_t,0.0008057639123278614
c_crdot_n,0.0007394331887362832
t_cndot_rdot,0.0007240625267949092
c_cndot_t,0.0007014924869629744
t_h_per,0.0006973906241961421
c_recommended_od_span,0.0006350319185848613
t_j2k_ecc,0.0005818723990190161
t_recommended_od_span,0.0005356490400386642
relative_velocity_t,0.0004284994374355086
t_cndot_n,0.0003990238053175512
t_cr_area_over_mass,0.00039595847302758706
t_cd_area_over_mass,0.00035520710683832195
c_ct_r,0.00033805166060405667
c_cn_t,0.0003023026286189163
c_cndot_tdot,0.0002815684014870859
c_rcs_estimate,0.0002413509137842848
F3M,0.00022679502991435502
t_ctdot_t,0.00022394619235403777
t_j2k_inc,0.00022377158887218192
t_sigma_t,0.00020438388550097087
t_j2k_sma,0.00019784694524479328
t_ctdot_n,0.0001909580805828521
c_cn_r,0.0001857026098237996
c_ctdot_rdot,0.00017819311012837313
t_actual_od_span,0.00017289038594544062
t_sigma_tdot,0.00016897234317357547
t_ctdot_rdot,0.00015514785732825386
c_sigma_n,0.0001531953500286272
c_cd_area_over_mass,0.00015032950429188615
c_ctdot_t,0.00014877290346061313
c_sigma_ndot,0.00014713439041624888
F10,0.0001461385140182424
t_cn_r,0.00014145224626615588
t_residuals_accepted,0.00014118613735047506
c_time_lastob_start,0.00013633351374225136
elevation,0.0001330164570701863
c_crdot_t,0.00013117422043152266
relative_position_t,0.00011752617887134506
miss_distance,0.00010493888551530444
t_crdot_n,0.00010372053354049368
relative_speed,8.984336855675677e-05
t_weighted_rms,8.802937861466052e-05
c_ctdot_r,8.562661974158556e-05
c_j2k_ecc,8.41292326034432e-05
relative_position_r,7.5600475747204e-05
t_sigma_r,7.25961691102027e-05
c_sigma_tdot,6.459779284008039e-05
t_obs_used,6.436362545637827e-05
t_crdot_t,5.943637787025618e-05
c_cndot_r,4.872011320129476e-05
c_h_apo,4.6770589135433025e-05
t_ct_r,3.3124809573195526e-05
c_residuals_accepted,2.3829763725261985e-05
c_sedr,1.775011624861945e-05
t_obs_available,1.6120960476215205e-05
c_sigma_r,6.467077220808617e-06
relative_velocity_r,4.53226153591806e-06
c_cndot_rdot,4.024098786966884e-06
t_cn_t,3.840433925057679e-06
t_cndot_tdot,2.769261627231529e-06
c_ctdot_n,1.6172664527772032e-06
c_obs_used,1.4949650941822372e-08
geocentric_latitude,8.47422659578185e-17
relative_velocity_n,0.0
t_time_lastob_end,0.0
t_sedr,0.0
t_time_lastob_start,0.0
t_cndot_r,0.0
t_crdot_r,0.0
c_j2k_sma,0.0
c_crdot_r,0.0
c_actual_od_span,0.0
c_time_lastob_end,0.0
c_object_type,0.0
c_obs_available,0.0
t_position_covariance_det,0.0
c_position_covariance_det,0.0
c_span,0.0
t_sigma_n,0.0
t_sigma_rdot,0.0
t_sigma_ndot,0.0
AP,0.0
relative_vel_mag,0.0
